ID;marca1;marca2;IDMARCA;Carro;IDMARCA;Moto;;;;;
;;;13;FUSION;136;GR125T3;;;;;
;;;13;IBIZA;136;GR125U;;;;;
;;;13;KA;136;GR 125Z;;;;;
;;;13;MONDEO;136;GR 150P/PI;;;;;
;;;13;MUSTANG;136;GR150ST;;;;;
;;;13;PAMPA;136;GR150T3;;;;;
;;;13;PROBE;136;GR150TI;;;;;
;;;13;RANGER;136;GR150U;;;;;
;;;13;VERSAILLES ROYALE;136;GR250T3;;;;;
;;;13;TAURUS;201;ENDUCROSS;;;;;
;;;13;THUNDERBIRD;201;ROOKIE ENDURO;;;;;
;;;13;TRANSIT;201;BOY;;;;;
;;;13;VERONA;201;MC;;;;;
;;;13;VERSAILLES;201;PAMPERA;;;;;
;;;13;WINDSTAR;201;TX BOY;;;;;
;;;1;A-10;201;TXT;;;;;
;;;1;A-20;201;TXT ROOKIE;;;;;
;;;1;AGILE;202;EASY;;;;;
;;;1;ASTRA;202;RUNNER;;;;;
;;;1;BLAZER;202;SAFARI;;;;;
;;;1;BONANZA;202;SPORT;;;;;
;;;1;C-10;203;HB-110;;;;;
;;;1;C-20;203;HB-125;;;;;
;;;1;CALIBRA;203;HB-150;;;;;
;;;1;CAMARO;204;SOFTAIL;;;;;
;;;1;CAPRICE;204;TOURING ROAD KING;;;;;
;;;1;CAPTIVA;204;TOURING ELECTRA GLIDE;;;;;
;;;1;CARAVAN;204;DYNA;;;;;
;;;1;CAVALIER;204;V-ROD;;;;;
;;;1;CELTA;205;LEGION;;;;;
;;;1;CHEVY;206;ANKUR;;;;;
;;;1;CHEYNNE;206;PUCH;;;;;
;;;1;COBALT;206;STREAM;;;;;
;;;1;CORSA;7;AMERICA;;;;;
;;;1;CORVETTE;7;CB 1000R;;;;;
;;;1;CRUZE;7;CB 1300;;;;;
;;;1;D-10;7;SUPERBLACKBIRD CBR 1100XX;;;;;
;;;1;D-20;7;CBR 250;;;;;
;;;1;IPANEMA;7;AERO CBX 150;;;;;
;;;1;KADETT;7;STRADA CBX 200;;;;;
;;;1;LUMINA;7;CH 125R;;;;;
;;;1;MALIBU;7;CR 85;;;;;
;;;1;MERIVA;7;GL GOLD WING;;;;;
;;;1;MONTANA;7;LEAD;;;;;
;;;1;OMEGA;7;MAGNA VF 750C;;;;;
;;;1;OPALA;7;NX 200/250;;;;;
;;;1;PRISMA;7;NX 350 SAHARA;;;;;
;;;1;S10;7;NX 400 FALCON;;;;;
;;;1;SILVERADO;7;NXR BROS;;;;;
;;;1;SONIC;7;POP 100;;;;;
;;;1;SONOMA;7;SUPER HAWK;;;;;
;;;1;SPACEVAN;7;TRX;;;;;
;;;1;SS10;7;VALKYRIE;;;;;
;;;1;SUBURBAN;7;VFR 1200;;;;;
;;;1;SYCLONE;7;VTX;;;;;
;;;1;TIGRA;7;VARADERO XL 1000V;;;;;
;;;1;TRACKER;7;XL;;;;;
;;;1;TRAFIC;7;XL 700V TRANSALP;;;;;
;;;1;VECTRA;7;XLR;;;;;
;;;1;VERANEIO;7;XLX;;;;;
;;;1;ZAFIRA;7;VLR 350;;;;;
;;;75;HOVER;7;XR;;;;;
;;;17;BR-800;7;TORNADO XR 250;;;;;
;;;17;CARAJAS;7;XRE 300;;;;;
;;;17;TOCANTINS;207;FE;;;;;
;;;17;XAVANTE;208;CR;;;;;
;;;17;VIP;208;HUSQY;;;;;
;;;76;TOWNER;208;SM;;;;;
;;;7;ACCORD;208;SMR;;;;;
;;;7;CITY;208;TC;;;;;
;;;7;CIVIC;208;TE;;;;;
;;;7;CR-V;208;WR;;;;;
;;;7;FIT;208;WRE;;;;;
;;;7;ODYSSEY;209;ACTION;;;;;
;;;7;PASSPORT;209;BRAVE;;;;;
;;;7;PRELUDE;209;MATRIX;;;;;
;;;14;ACCENT;209;MOVING;;;;;
;;;14;ATOS;209;ONE;;;;;
;;;14;AZERA;209;VINTAGE;;;;;
;;;14;COUPE;209;WARRIOR;;;;;
;;;14;ELANTRA;210;JP;;;;;
;;;14;EXCEL;211;BARHOG;;;;;
;;;14;GALLOPER;211;PROSTREET;;;;;
;;;14;GENESIS;211;SPYDER;;;;;
;;;14;H1;212;ATLANTIC;;;;;
;;;14;H100;212;HYPE;;;;;
;;;14;I30;212;JONNY;;;;;
;;;14;IX35;212;ORBIT;;;;;
;;;14;MATRIX;212;PEGASUS;;;;;
;;;14;PORTER;212;QUICK;;;;;
;;;14;SANTA FE;212;TR;;;;;
;;;14;SCOUPE;213;TOP;;;;;
;;;14;SONATA;213;DUAL;;;;;
;;;14;TERRACAN;133;COMET GT 650;;;;;
;;;14;TRAJET;133;COMET GT-R 650;;;;;
;;;14;TUCSON;133;CRUISE;;;;;
;;;14;VELOSTER;133;ERO;;;;;
;;;14;VERACRUZ;133;FLASH;;;;;
;;;84;AMIGO;133;FURIA;;;;;
;;;84;HOMBRE;133;GF;;;;;
